"","year","block","treatment","herb","BSI","N","C","p","lignin","npe","hemicell","cell","CN","CP","NP","ligninN"
"1",2018,"B1","CT","PR",0.156808743,1.9125,46.2995,0.21648078,5.320848468,31.8540558,36.81773272,25.55137708,24.2088888888889,213.873490293226,8.83450253643765,2.78214298980392
"2",2018,"B1","CT","PU",0.193108092,2.3045,46.7255,0.231164731,5.905283798,29.93066764,38.16803598,25.44767592,20.2757648079844,202.130748050835,9.96908131284093,2.56250110566283
"3",2018,"B1","F10","PR",0.1710646,2.437,46.2535,0.399738768,6.219927351,32.5135325,35.93367243,25.20882389,18.9796881411572,115.709317441034,6.09648149013157,2.55228861345917
"4",2018,"B1","F10","PU",0.151959598,2.715,46.643,0.383441719,5.703783422,32.06718761,36.9720718,25.01325637,17.1797421731123,121.642997328624,7.08060668797492,2.10084103941068
"5",2018,"B1","F2","PR",0.177636893,2.1095,46.617,0.26145369,5.971149676,32.45928869,36.16999566,24.88223462,22.0986015643517,178.299262098768,8.06835046007574,2.83059951457691
"6",2018,"B1","F2","PU",0.11573611,2.1335,46.065,0.357445261,5.642618814,30.92071368,37.27535378,25.51741374,21.5912819310991,128.872879363758,5.96874607885765,2.64477094633232
"7",2018,"B1","F5","PR",0.188181795,2.668,46.789,0.34638513,6.589122407,32.41274181,36.13039632,24.53076094,17.5371064467766,135.07796942669,7.70240916519713,2.4696860595952
"8",2018,"B1","F5","PU",0.1240463,2.86,46.541,0.401128299,5.072124152,33.73791581,35.8478745,25.03559017,16.2730769230769,116.025222144698,7.12988838516227,1.77346998321678
"9",2018,"B2","CT","PR",0.154304431,2.2545,46.798,0.239443651,6.726062892,30.82227983,38.20531917,24.16002706,20.7575959192726,195.444731169757,9.41557644391248,2.98339449634065
"10",2018,"B2","CT","PU",0.131039222,2.185,47.8905,0.242002876,7.832423204,33.40295501,37.59287602,20.84759329,21.9178489702517,197.892276288485,9.02881831867155,3.58463304530892
"11",2018,"B2","F10","PR",0.185362446,2.8535,46.226,0.445675128,7.455932854,32.23005546,39.06944098,21.20630831,16.1997546872262,103.721291801592,6.40264583039509,2.61290795654459
"12",2018,"B2","F10","PU",0.17828034,2.466,46.5535,0.374964343,6.386385871,32.84988864,38.29703416,22.43044524,18.8781427412814,124.154471936016,6.57662534061272,2.58977529237632
"13",2018,"B2","F2","PR",0.207255052,2.1665,46.842,0.285299623,6.14959202,29.87887395,39.58204655,24.25514912,21.6210477729056,164.185285306178,7.59377098791329,2.83849158550658
"14",2018,"B2","F2","PU",0.138767083,2.236,47.291,0.325744387,6.891260915,32.31056325,37.87169345,22.8067456,21.1498211091234,145.178249840419,6.86427791002888,3.08195926431127
"15",2018,"B2","F5","PR",0.122742999,2.68,46.258,0.362403725,6.275918279,31.11192768,38.9926668,23.5897923,17.260447761194,127.642175863397,7.39506747619661,2.34176055186567
"16",2018,"B2","F5","PU",0.123857597,2.4375,46.811,0.295252991,6.340663221,30.78626219,38.97005317,23.92411304,19.2045128205128,158.545387944944,8.25563186250669,2.60129773169231
"17",2018,"B3","CT","PR",0.11901,2.34,47.293,0.263312286,6.941276794,27.02181769,37.1559622,28.96958591,20.2106837606838,179.608026341771,8.88678623981868,2.9663576042735
"18",2018,"B3","CT","PU",0.1361415,2.259,47.27,0.324427709,6.943731296,28.10933546,37.47455523,27.6080532,20.9251881363435,145.702721095256,6.96303039886152,3.07380756795042
"19",2018,"B3","F10","PR",0.194726,3.0435,45.907,0.392088851,7.303592578,30.69482827,37.12988551,24.93091196,15.0836208312798,117.083155725843,7.76227121030789,2.39973470609496
"20",2018,"B3","F10","PU",0.140218,2.4975,46.8825,0.345948161,7.30862723,29.39267604,36.31832314,27.10703995,18.7717717717718,135.518858850069,7.21928971317758,2.92637726926927
"21",2018,"B3","F2","PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2018,"B3","F2","PU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2018,"B3","F5","PR",0.169749,2.3355,42.9845,0.379609174,6.906187625,29.56087824,35.40918164,28.22355289,18.4048383643759,113.233564792615,6.15238028994526,2.95704886533933
"24",2018,"B3","F5","PU",0.1140455,2.6055,47.501,0.332601378,6.723267327,29.03643564,37.94019802,26.38970297,18.2310497025523,142.816606129635,7.83370175934749,2.58041348186529
"25",2019,"B1","CT","PR",0.1596135,1.6795,46.6445,0.255181143,6.918909846,33.08841482,38.56207654,21.36307453,27.7728490622209,182.789760448718,6.58159917404242,4.11962479666567
"26",2019,"B1","F10","PR",0.2192135,1.994,45.19,0.458394268,7.41670909,33.66847672,38.99178202,19.92299177,22.6629889669007,98.5832571536431,4.34996713353318,3.71951308425276
"27",2019,"B1","F2","PR",0.172206,1.8475,46.766,0.325566879,6.632872061,32.16253444,38.12303799,22.93044077,25.3131258457375,143.644833109697,5.67471729825441,3.59018785439783
"28",2019,"B1","F5","PR",0.1715705,2.09,46.823,0.428722435,6.925426357,35.36356589,34.93255814,22.56248062,22.4033492822967,109.2151848783,4.87494898651618,3.3136011277512
"29",2019,"B2","CT","PR",0.184612,1.877,46.7245,0.221829067,7.935981649,33.92808211,36.3699708,21.83372609,24.8931806073522,210.632901413231,8.4614700200673,4.22801366489078
"30",2019,"B2","F10","PR",0.1861935,2.4925,45.99,0.441462709,5.477898833,33.8151751,36.17976654,24.29743191,18.4513540621866,104.176409609266,5.64600349969764,2.19775279157472
